protein_group	protein_names	genes	description	molecular_weight_kda	sequence_length
Q9NYU2	UGGG1_HUMAN	UGGT1	UDP-glucose:glycoprotein glucosyltransferase 1 OS=Homo sapiens OX=9606 GN=UGGT1 PE=1 SV=3	177.1896	1555.0
O60279	SUSD5_HUMAN	SUSD5	Sushi domain-containing protein 5 OS=Homo sapiens OX=9606 GN=SUSD5 PE=1 SV=3	68.0212	629.0
A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1 OS=Homo sapiens OX=9606 GN=IGHV5-10-1 PE=1 SV=1	12.7726	117.0
A0A075B6Q5	HV364_HUMAN	IGHV3-64	Immunoglobulin heavy variable 3-64 OS=Homo sapiens OX=9606 GN=IGHV3-64 PE=1 SV=1	12.8907	118.0
Q92692	NECT2_HUMAN	NECTIN2	Nectin-2 OS=Homo sapiens OX=9606 GN=NECTIN2 PE=1 SV=1	57.742	538.0
P04066	FUCO_HUMAN	FUCA1	Tissue alpha-L-fucosidase OS=Homo sapiens OX=9606 GN=FUCA1 PE=1 SV=4	53.6889	466.0
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10 OS=Homo sapiens OX=9606 GN=IGLV3-10 PE=1 SV=2	12.4409	115.0
Q8WUJ3	CEMIP_HUMAN	CEMIP	Cell migration-inducing and hyaluronan-binding protein OS=Homo sapiens OX=9606 GN=CEMIP PE=1 SV=2	152.9978	1361.0
P05060	SCG1_HUMAN	CHGB	Secretogranin-1 OS=Homo sapiens OX=9606 GN=CHGB PE=1 SV=2	78.2763	677.0
Q92520	FAM3C_HUMAN	FAM3C	Protein FAM3C OS=Homo sapiens OX=9606 GN=FAM3C PE=1 SV=1	24.6805	227.0
P04275	VWF_HUMAN	VWF	von Willebrand factor OS=Homo sapiens OX=9606 GN=VWF PE=1 SV=4	309.2645	2813.0
Q9Y6Y9	LY96_HUMAN	LY96	Lymphocyte antigen 96 OS=Homo sapiens OX=9606 GN=LY96 PE=1 SV=2	18.5455	160.0
Q92673	SORL_HUMAN	SORL1	Sortilin-related receptor OS=Homo sapiens OX=9606 GN=SORL1 PE=1 SV=2	248.4264	2214.0
Q9Y5Y6	ST14_HUMAN	ST14	Suppressor of tumorigenicity 14 protein OS=Homo sapiens OX=9606 GN=ST14 PE=1 SV=2	94.7697	855.0
Q8NBS9	TXND5_HUMAN	TXNDC5	Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2	47.6289	432.0
P02750	A2GL_HUMAN	LRG1	Leucine-rich alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=LRG1 PE=1 SV=2	38.1779	347.0
A0A075B6I7	LV548_HUMAN	IGLV5-48	Probable non-functional immunoglobulin lambda variable 5-48 OS=Homo sapiens OX=9606 GN=IGLV5-48 PE=1 SV=2	11.2467	105.0
Q15262	PTPRK_HUMAN	PTPRK	Receptor-type tyrosine-protein phosphatase kappa OS=Homo sapiens OX=9606 GN=PTPRK PE=1 SV=2	162.1021	1439.0
P0DP01	HV108_HUMAN	IGHV1-8	Immunoglobulin heavy variable 1-8 OS=Homo sapiens OX=9606 GN=IGHV1-8 PE=1 SV=1	12.9917	117.0
P02743	SAMP_HUMAN	APCS	Serum amyloid P-component OS=Homo sapiens OX=9606 GN=APCS PE=1 SV=2	25.3871	223.0
A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26 OS=Homo sapiens OX=9606 GN=IGHV2-26 PE=1 SV=1	13.1823	119.0
P01602	KV105_HUMAN	IGKV1-5	Immunoglobulin kappa variable 1-5 OS=Homo sapiens OX=9606 GN=IGKV1-5 PE=1 SV=2	12.7816	117.0
Q13835	PKP1_HUMAN	PKP1	Plakophilin-1 OS=Homo sapiens OX=9606 GN=PKP1 PE=1 SV=2	82.8606	747.0
P07602	SAP_HUMAN	PSAP	Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2	58.1126	524.0
O75368	SH3L1_HUMAN	SH3BGRL	Adapter SH3BGRL OS=Homo sapiens OX=9606 GN=SH3BGRL PE=1 SV=1	12.7743	114.0
O95497	VNN1_HUMAN	VNN1	Pantetheinase OS=Homo sapiens OX=9606 GN=VNN1 PE=1 SV=2	57.0117	513.0
Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1 OS=Homo sapiens OX=9606 GN=LASP1 PE=1 SV=2	29.7172	261.0
Q9BY43	CHM4A_HUMAN	CHMP4A	Charged multivesicular body protein 4a OS=Homo sapiens OX=9606 GN=CHMP4A PE=1 SV=3	25.0983	222.0
Q15746	MYLK_HUMAN	MYLK	Myosin light chain kinase, smooth muscle OS=Homo sapiens OX=9606 GN=MYLK PE=1 SV=4	210.715	1914.0
P04632	CPNS1_HUMAN	CAPNS1	Calpain small subunit 1 OS=Homo sapiens OX=9606 GN=CAPNS1 PE=1 SV=1	28.3157	268.0
P16070	CD44_HUMAN	CD44	CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3	81.5376	742.0
P54578	UBP14_HUMAN	USP14	Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3	56.0691	494.0
P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase OS=Homo sapiens OX=9606 GN=ACLY PE=1 SV=3	120.8392	1101.0
P50990	TCPQ_HUMAN	CCT8	T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4	59.6206	548.0
P22314	UBA1_HUMAN	UBA1	Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens OX=9606 GN=UBA1 PE=1 SV=3	117.849	1058.0
P24666	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens OX=9606 GN=ACP1 PE=1 SV=3	18.0425	158.0
P29218	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1 OS=Homo sapiens OX=9606 GN=IMPA1 PE=1 SV=1	30.1888	277.0
P0DP23	CALM1_HUMAN	CALM1	Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1	16.8376	149.0
O60814	H2B1K_HUMAN	H2BC12	Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=H2BC12 PE=1 SV=3	13.8901	126.0
P81605	DCD_HUMAN	DCD	Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2	11.2839	110.0
P14618	KPYM_HUMAN	PKM	Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4	57.9369	531.0
O75015	FCG3B_HUMAN	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-B OS=Homo sapiens OX=9606 GN=FCGR3B PE=1 SV=3	26.2429	233.0
E9PAV3	NACAM_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	205.4215	2078.0
Q9UJ70	NAGK_HUMAN	NAGK	N-acetyl-D-glucosamine kinase OS=Homo sapiens OX=9606 GN=NAGK PE=1 SV=4	37.3757	344.0
Q9Y2Y8	PRG3_HUMAN	PRG3	Proteoglycan 3 OS=Homo sapiens OX=9606 GN=PRG3 PE=1 SV=2	25.4055	225.0
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15 OS=Homo sapiens OX=9606 GN=IGHV3-15 PE=1 SV=1	12.9258	119.0
