Protein.Group	Protein.Names	Genes	First.Protein.Description	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con1_GD6_1_50906.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con2_GD7_1_50908.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con3_GD8_1_50910.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con4_GD9_1_50912.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con5_GD10_1_50914.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con6_GD11_1_50916.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con7_GD12_1_50918.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con8_GE1_1_50920.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con9_GE2_1_50922.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con10_GE3_1_50924.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con11_GE4_1_50926.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con12_GE5_1_50928.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con13_GE6_1_50930.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con14_GE7_1_50932.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_Con15_GE8_1_50934.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP1_GF12_1_50970.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP2_GG1_1_50972.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP3_GG2_1_50974.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP4_GG3_1_50976.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP5_GG4_1_50978.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP6_GG5_1_50980.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP7_GG6_1_50982.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP8_GG7_1_50984.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP9_GG8_1_50986.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP10_GG9_1_50988.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP11_GG10_1_50990.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP12_GG11_1_50992.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP13_GG12_1_50994.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP14_GH1_1_50996.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_CPKP15_GH2_1_50998.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP1_GE9_1_50938.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP2_GE10_1_50940.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP3_GE11_1_50942.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP4_GE12_1_50944.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP5_GF1_1_50946.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP6_GF2_1_50948.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP7_GF3_1_50950.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP8_GF4_1_50952.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP9_GF5_1_50954.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP10_GF6_1_50956.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP11_GF7_1_50958.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP12_GF8_1_50960.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP13_GF9_1_50962.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP14_GF10_1_50964.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_KP15_GF11_1_50966.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix1_GH3_1_50936.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix2_GH3_1_50968.d	E:\CL\202506\25062408_HJ_DIA_tims\25062408_HJ_mix3_GH3_1_51000.d
P51148	RAB5C_HUMAN	RAB5C	Ras-related protein Rab-5C		3838.24		3801.73	2251.93	4432.12	2275.91	2386.43	1831.34							2086.22			4509.8			3029.99				1366.05			5351.49	3957.19		1650.29			3761.66			3781.24		2998.3	2581.46	6179.96			6289.28	3352.02	3518.78	2442.43
P51149	RAB7A_HUMAN	RAB7A	Ras-related protein Rab-7a	20421.1	21405.1	7121.93	20648.2	10498.8	34515.9	6494.21	11394.7	8056.93	9492.38	5302.56	5483.62	11967.8	10150.2	4190.85	11335.4		2698.32	17154.7		6396.54	14228.8	5307.86	11195.1	5427.67	6797.16	27871.7		25140.4	24148.4	4166.92	4362.57	3577.5	32705.1	3949.29	4361.47			12110	8193.35	14303.8	7648.29		2448.96	38355	10964.9	11510.2	11959.9
P51693	APLP1_HUMAN	APLP1	Amyloid beta precursor like protein 1	18671.4	19000.7	23554	14883.5	26295.7	11829.2	15012	11654	21110.1	7384.02	5872.42	16809.7		9094.89	12207.4	12395.1	8201.02	8582.98	7070.94	19262.4	16008.1	9097.73	24888.5	12563.1	8067.03	23040.8	19598.6	5051.5	20389.5	17321	7315.98	3686.01	7792.39	10619	8360.81		11681	17478.4	12837.3	10565.6	33802.9	25706.2	9259.4	11560.8	19747	12636.6	13711.1	11843.1
P51858	HDGF_HUMAN	HDGF	Hepatoma-derived growth factor	10332.5	7689.61		10730	11128.8	4503.33	5743.4			6696.96		12338.7				22580.5		14055.9	106602		6055.99	25384.9	33411.3	27078	11029.6	23453.7	5595.87			10051.1				22025.9	7419.52		6864.58	5164.57		11087.8	6572.43	9015.98	5224.78	10492.6	15394.2	21153.8	19713.1	18116.9
P51884	LUM_HUMAN	LUM	Lumican	2.91047e+06	3.17841e+06	2.15353e+06	3.24483e+06	3.96764e+06	2.39723e+06	2.43098e+06	1.55216e+06	2.04223e+06	1.32885e+06	1.37224e+06	2.19817e+06	2.1762e+06	1.4166e+06	2.10831e+06	1.56434e+06	3.27882e+06	1.96272e+06	4.71571e+06	2.26719e+06	2.26495e+06	5.17472e+06	3.4054e+06	2.97915e+06	2.08041e+06	3.45601e+06	4.39501e+06	3.37837e+06	4.07032e+06	4.11978e+06	1.74124e+06	2.2482e+06	2.50173e+06	1.31097e+06	2.76386e+06	2.44015e+06	1.21707e+06	3.48133e+06	3.07745e+06	1.66732e+06	3.27099e+06	5.23408e+06	1.74226e+06	3.40344e+06	4.12008e+06	2.53744e+06	2.50303e+06	2.47962e+06
P52209	6PGD_HUMAN	PGD	6-phosphogluconate dehydrogenase, decarboxylating	27758	31893.5	8051.1	30009.5	13423.9	18344.7	11981.2	10024.4	8638.11	12405.5	11891.5	10914.2		11596.7	13015.7	25643.8	10100.7	13856.2	128297	15533.6	12100	29282	22427.7	33235.4	22036	20468.2	15354	7357.06	18216.7	17097.6	10038.8	10868.2	8723.76	23214.4	12634.9		7580.56	7578.9	19400	17488.8	26514.1	33280.8	6970.98	8518.6	31024.6	20760.2	23526.2	19613.8
P52565	GDIR1_HUMAN	ARHGDIA	Rho GDP-dissociation inhibitor 1	47733.2	51258.4	9807.16	46965.5	25340.4	33743.1	13282.5	13349.4	11056.1	9333.44	14136.8	10797	8767.48	10319.9	14407.6	16904.5	10631.5	16615.9	61248.4	5986.07	11500.5	35119.2	22441.8	25231.5	19608.1	17065.7	17452.6	7443.99	18816.9	19051.2	6488.46	7904.43	8876.08	35608.1	8242.7		10775	12149.5	14596.6	12603.5	25872.9	24511.3	7813.64	7923.88	45239.1	20542.9	20546.8	16631.1
P52566	GDIR2_HUMAN	ARHGDIB	Rho GDP-dissociation inhibitor 2	112547	137800	23501.4	111021	53982	48510.6	25356.6	45056.4	18909	29926.5	15850.9	27795.4			36776.6	92786.6		79223.5	268923	42097.8	43493.8	110797	101982	122200	42873.8	119079	80258.4		40086	39349.3		20291.7		75270.7				7687.28	41180.3	57069.7	59133.4	73193.5	19896.6	24966.6	132158	57222	60378.2	72841.9
P52790	HXK3_HUMAN	HK3	Hexokinase-3	4055.94	4047.24		3786.6	3323.8	4197.97	5670.1			4376.18	4968.42	2582.96	3173.29	5414.58		8140.82		7168.89	39270	5277.61	5138.84	5155.81	11095.4	10121.6	6756.73	11553.4			4611.81	3640.1				7918.39	6137.62		4556.17		5876.98	9783.19	6836	18105.9		4667.72	8232.28	6656.37	6608.37	6404.59
P52848	NDST1_HUMAN	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1	2710.84	2725.27	3335.12	3118.74	1424.85	2239.9	2135.69					2772.82				1899.04	4134	2014.88	4702.07	2857.36		4508.66	4281.19		1890.9	3529.78	2648.04	4029.05	2724.09	2237.59		1627.99	3833		6040.21			3977.49		1741.75	3275.38	7258.21		1419.44	4822.48	2901.26		3394.65
P52907	CAZA1_HUMAN	CAPZA1	F-actin-capping protein subunit alpha-1	30816.2	29605.2	8200.24	33598.1	12688.2	14001.2	6550.02	10675.7	7281.38	9115.94	9284.14	5239.51	7495.8	12267.1	8511.85	13505.8	2946.45	8490.49	38236.5	5635.64	4969.24	12369.6	5365.85	17303.1	7633.88	6495.36	10857.6	4310.12	11431.5	13190.1	5003.2	4525.52	5230.29	16605	3939.55		5752.33		9425.19	7696.33	14252.7	10897.3	5736.88	4082.3	22873.3	8407.37	10718.9	9061.5
P53004	BIEA_HUMAN	BLVRA	Biliverdin reductase A	10610.3	9340.72	4720.65	9280.32	6469.58	9971.55	3899.42	7058.37	2859.04			5193.18	1663.96	4865.55			4344.57	6238.82	9618.61	5217.45	4807.22	21869.1	4812.67	3557.71	3464.97	3067.52	5025.2	7010.37	3819.13	7128.78	5381.18	3981.22	4743.95	4298.46	4338.79				2594.03	2837.19	10695	5676.22	2351.45	1775.26	6440.43	4866.88	3689.78	6034.28
P53396	ACLY_HUMAN	ACLY	ATP-citrate synthase	5256.93	6099.86	1555.86	4571.19	2151.01	3364.33		2082.07	1805.34			2194.26				2883.63	4064.19	3434.12	5442.16		3015.4	7278.03	1748.24	1634.3	1770.87	3077.62		1714.88	2056.59	2018.54					4216.43			1478.66			4004.05	4750.16			2585.1	2148.42	1917.16	1705.88
P53618	COPB_HUMAN	COPB1	Coatomer subunit beta	5364.83	6995.27	2136.93	4411.89	1917.81				1209.73																				2571.63										2361.1			1526.34				1304.24		
P53634	CATC_HUMAN	CTSC	Dipeptidyl peptidase 1	14912.3	14728.7	14684.5	12957	9230.94	24196.8	15302.8	15052.2	16763.9	14173.2		15473.2	12917.3	7760.18	12168.2	13116.5	8414.94	12653.3	16715.2	14573.5	13082.1	14129.8	14996.3	12253.8	7234.89	16630.1	24641	10113.7	17976.3	22363.9	7312.84		6039.9	18510.3	14179.6	17260.3	6450.94	10326.1	10615.9	10483.1	22991.2	25775.2	8198.73	15671.3	33235.6	12160.2	10329.8	10681
P53999	TCP4_HUMAN	SUB1	Activated RNA polymerase II transcriptional coactivator p15			4722.02													6746.18			27879.3					6331																15476		4001.59			5161.16			
P54289	CA2D1_HUMAN	CACNA2D1	Voltage-dependent calcium channel subunit alpha-2/delta-1	12069.2	9335.74	7851.55	9999.22	21779.3	11984.7	13907.1	11992.9	6743.51	11066	7790.19	9894.25	8012.1	20073	7152.53	5801.02	13143	4750.26	5779.81	5312.65		7641.68	9998.18	6543.03	8947.4	8929.76	19634.5	10043.2	15666	16851.6	13018.8	8203.95	8276.4	5268.68	14133.7	5964.85	7467.43	11434.2	7934.67	5117	7235.36	11293.8	11542.4	7669.04	14549.9	5491.78	1651.21	9220.51
P54578	UBP14_HUMAN	USP14	Ubiquitin carboxyl-terminal hydrolase 14	4154.16	5307.54		4807.37	3159.94	7281.52	4496.64	3129.89				3358.42				1464.1	3303.75	2782.94	4752.1	2720.75	4951.84	15025.1	1567.74	1777.6				2324.74	3364.39	1889.73			3171.92	2574.85							5327.95	3456.2		944.224	2837.81	2338.1		
P54760	EPHB4_HUMAN	EPHB4	Ephrin type-B receptor 4	5041.21	4106.09	3629.5	4753.19	14867.3	2797.69		2598.24	4272.6					2421.29	1457.07	4166.82	5808.32	5825.02	9867.99	6224.94		11696.2	17387.6	8283.16	4402.41	15942.3	5902.04	5249.29	4652	4386		3663.61	4205.16	2480.56	6947.57	5220.64	4378.66	6288.58	4392.18	5573.01	7395.91	13201.2	3656.84	6600.6	9733.36	4491.25	6467.04	4774.25
P54764	EPHA4_HUMAN	EPHA4	Ephrin type-A receptor 4	4261.69		7241.18	2817.65	23818.6	9284.78	9775.71	5928.74	12211.2		2389.68	10245.2			6511.13	7536.76	5022.1	7783.9	3890.57	3871.63		4079.06	11530	7051.29	5542.46	9363.26	16524.1	3652.52	15035	15303.1		4183.72	6846.59	8122.77	8489.08			9796.95	9443.94	17280.6	8824.09	15621.3			12908.8	6524.95	6481.61	7958.29
P54802	ANAG_HUMAN	NAGLU	Alpha-N-acetylglucosaminidase	28839	33022.9	38454.8	31703.3	59941.8	62049.6	49930	46246.2	46336.1	48118	24201	50454.1	55119.5	33330.3	48297.9	23280.2	62086.2	26893.2	73558	30542.1	31218.3	24162.3	24737.1	15749.3	10274.1	22190.1	41081.3	61405.6	43915.4	46281.2	41547.4	33474.1	34786.2	21275.4	89965.3	48190.4	24337.6	62766.8	44757.1	40666.7	23937.6	43611.7	25116.2	32477.1	22371.2	34198.6	33512.3	32084.3
P54803	GALC_HUMAN	GALC	Galactocerebrosidase	8438	7374.59	16177.3	8153.93	7723.9	12617.7	11667.9	5164.3	16299.1	14952.8	11667.3	13405.5	9650.93	11604.9	13063.5	9407.28	9414.22	5332.12	13164.3	8016.31	5759.45	6788.05	9599.89	2893.9	12236.3	6779.99	14010.9	10444.3	11508.7	12089.7	11689.7	12016.6	9444.09	5901.56	16710	15285.7		5218.92	11104.6	16155.8	15200.5	19010.8	6609.89	10486.3	9699.81	7686.39		9878.28
P54868	HMCS2_HUMAN	HMGCS2	Hydroxymethylglutaryl-CoA synthase, mitochondrial					4905.25		5217.17							5168.7											2672.52		2642.16		2343.26						6524.59						2146.57				3631.45			
P55056	APOC4_HUMAN	APOC4	Apolipoprotein C-IV	1.5181e+06	1.50763e+06	1.69724e+06	1.63937e+06	1.52434e+06	3.07379e+06	2.08292e+06	1.31787e+06	1.71282e+06	2.68241e+06	2.09652e+06	2.37398e+06	2.88996e+06	2.42754e+06	742385	811025	870411	713120	480068	2.34538e+06	2.52394e+06	1.07504e+06	449379	284624	1.36345e+06	481373	398062	995699	444240	469809	1.04171e+06	3.20508e+06	3.30049e+06	1.81101e+06	855217	2.00144e+06	1.81726e+06	578485	995032	1.06579e+06	1.07612e+06	685386	1.61869e+06	1.19853e+06	1.78525e+06	1.20928e+06	1.33466e+06	1.50485e+06
P55058	PLTP_HUMAN	PLTP	Phospholipid transfer protein	509749	514304	327515	531328	425299	302641	366396	235700	272095	185780	187653	334502	222072	277418	279046	352439	695840	316527	938924	563278	539561	724771	898835	1.50288e+06	390215	950746	734974	638720	772123	713796	356676	208637	275623	397819	677253	434568	643392	282459	871798	864965	986250	1.14271e+06	693578	638580	873409	716973	715869	710663
P55072	TERA_HUMAN	VCP	Transitional endoplasmic reticulum ATPase	53482.9	57433.7	12028.7	57929.7	30011.3	48903	38199.6	29369.7	12436.9	13909.8	39989.1	49474.9	7370.63	14000.8	22417.6	21181	23675.9	30983.9	86283.8	30216.4	32941.4	134851	21307.8	27494.6	12897.1	20322.4	18451.5	28361.5	18166.7	18835.8	27434.7	30727.5	29284.5	40687.4	11056.4		7990.79	1687.31	17925.8	16586.8	53107.1	38134.6	13657.2	8257.1	34802.7	34645.7	33957.5	35447.1
P55103	INHBC_HUMAN	INHBC	Inhibin beta C chain	49249.3	43666	44156.9	45996	82189.3	71051.8	59335	21790	47037.6	51710.3	91582	65758.6	108739	38392	63644.3	60884.1	63104.7	57097.3	104465	56808.9	56966.2	62510	68735.2	71297.8	44051.1	53222.6	55628.7	60260.8	53099.6	45157.2	47610	98060.1	98054.1	60899.3	62459	66343.2	78164.2	81423.9	42413.6	41232.6	71086.9	114296	60796.3	65360.1	60430.4	51180.8	51305	51839
P55157	MTP_HUMAN	MTTP	Microsomal triglyceride transfer protein large subunit							1285.04	1266.74				2288.7						1042.86	931.188	3848.2	2157.23											737.758			1500.61	2709.08		2562.55				1099.28		1891.2				
P55209	NP1L1_HUMAN	NAP1L1	Nucleosome assembly protein 1-like 1	26725.1	24880.9	3956.46	24031.2	19440	13533.4	15416.5	12980	5675.4		19691.2	16319.4		10230.5	11025.7	11628.7	6450.31	19461.7	24779.6	12083.9	11713	51328.9	6106.27	12587.6	5132.49	5663.14	7129.33	7497.96	8114.02	8859.44	7074.06	8315.55	11874.7	17979.3	4486.69		7794.74		8853.86	10402.1	15108.6	13483.9	8904.99	3602.15	16406.4	11764.2	15533.2	14804.9
P55268	LAMB2_HUMAN	LAMB2	Laminin subunit beta-2	8164.54	8690.84	9941.58	9946.84	18925.1	7311.11	9757.78	6665.94	6043.91		11207.1	9530.58		5893.5	10479.9	5757.47	13197.5	4537.95	13236.5	7756.23	6904.29	8653.41	9099.25	5776.87	12173.5	7542.04	15428.4	10300.8	15503.3	13942	5717.26	7553.94	11003.4	9909.78	21346.3	16741.4	9171.45	25175.3	11328.3	14224.6	13707.9	17781.5	5494.98	10259.6	13888	8349.12	6902.56	10438
P55285	CADH6_HUMAN	CDH6	Cadherin-6	17884.8	17850	17971.7	18199.3	30097.5	14779.3	20501.6	11248.7	16393.1	10726.1	10851.6	17163.2	13908.9	14666.9	16643.7	11396.4	11850.9	9407.7	17987.8	6851.19	7156.34	15566.2	26964.8	18884.2	11965	26999.7	27868	11129	30473.8	25750.4	9862.5	13188.8	16257.8	8960.3	38250.6	16897.7	11844.3	17047.4	31433	23496.8	23168.4	32071.7	6505.17	13234.1	56510.2	13986.7	12700.5	11556.5
P55287	CAD11_HUMAN	CDH11	Cadherin-11	11376.3	14826.9	8486	12100.3	14885	9007.27	4911.58	3820.63	12366.8	7923.43			10187.6	5838.32	6116.93		7859.91	10243.7	17153.6	6542.67	6664.9	11475.4	31116.4	5607.9	8233.82	25078.3	12374.8	7026.09	14459.8	14748.7		5399.39		3599.56	13269.8	8732.45	8080.42	7919.18	9457.59	18966.2	15253.3	11336.3	4598.6	6888.15	17289.1	9648.27	10229.3	11640.4
P55290	CAD13_HUMAN	CDH13	Cadherin-13	19525.2	25684.7	15255	19324.5	16607.1	18200.6	4028.97	13148.3	16647.7	2338.09		2170.74	4156.85	5731	2470.34	4831.72	3617.93				5952.73	5689.13			3461.91		10131.7	4880.19	7379.37	5271.6	12554.6			3004.72	3239.87	4410.79		3205.59	4134.45		5086.55	3411.54		5917.87			3433.18	
P55291	CAD15_HUMAN	CDH15	Cadherin-15							5290.43			7049.51	5255.31			7047.28					3993.51				4009.6			4314.21																					2060.3	
P55786	PSA_HUMAN	NPEPPS	Puromycin-sensitive aminopeptidase	3918.52	3148.22		2778.35	3485.28	2936.21	3540.84	1767.41			2223.77	3529.06		1434.64	1550.14	2565.84	1431.44	2379.58	8923.45	2012.49	913.215	4070.02	6314.83	4612.96	3262.14		2032.36		2751.71	2799.25	2321.7	2177.47	1637.29	3278.19	5263.14	1222.25	2471.75	2251.36		2201.35	2732.47	5224.65		2133.04	7442.78	3696.17	4056.83	3917
P55854;P61956;Q6EEV6	SUMO2_HUMAN;SUMO3_HUMAN;SUMO4_HUMAN	SUMO2;SUMO3;SUMO4	Small ubiquitin-related modifier 3	136422	91525.4	49478.3	52829	23218.8	36886.9	37957		34341.5	25211						8601.56			25669.8			20469.6		10866										28175.6				11595.9					16915	14310.5	16898.2	17692.2	17530.6	
P55899	FCGRN_HUMAN	FCGRT	IgG receptor FcRn large subunit p51		5294.97	4450.08	9501.69	11600.7	3489.09			3777.15		6974.07	6864.48	3562.07	10562.8	7627.69				11381.8		5922.3		10844.9	5905.39	1421.54	22265.9	5127.81		9259.55	5737.37	23323.9	2890.98	2777.39	1590.31				8227.16	1129.98	11426.8	7967.41	8599.08	1635.29		7047.19	3933.33		4636.49
P56192	SYMC_HUMAN	MARS1	Methionine--tRNA ligase, cytoplasmic	819.346	1807.15			898.43																																											
P56730	NETR_HUMAN	PRSS12	Neurotrypsin	226069	218746	207056	165796	154857	180072	124154	108554	125488	188710	125336	106641	265629	175866	95675.6	234092	176684	146199	167536	233184	247104	156703	139800	163806	172645	153189	183078	187719	115969	114584	177707	198677	205860	124253	102602	123801	64481.4	137900	162296	86513.7	140300	93090.2	146239	166759	150435	114005	118257	124348
P58166	INHBE_HUMAN	INHBE	Inhibin beta E chain	2102.53	4592.55	4426.41	3604.38	7574.41	10935.7	10276.3		8635.06	7715.34	13491.6	11089.2	10193.6	7032.39	5895.12	16323.4	4076.49	3023.43	8316.72	8606.04	9337.21	7985.19	4963.07	11088.6	4514.33	5719.92	5277.77	3796.01	3843.73	4376.09		10685.9	9538.1	18234.5	7634.9	19482.5	11589.5	6215.76		13571.2	5343.46	42961.5	6598.5	8150.89	8821.29	6701.71	7240.77	6778.54
P58215	LOXL3_HUMAN	LOXL3	Lysyl oxidase homolog 3	2261.24	2963.31	2854.97	2845.19		2628.36		4491.75	2621.2			1723.5				2349.67					821.392			2480.46		1839.06	2100.55		1674.39												3920.43	5964.64			2184.46			
P58335	ANTR2_HUMAN	ANTXR2	Anthrax toxin receptor 2	8023.96	6560.25		7547.4	7900.78		8420.24	9071.54	9364.03			9120.66										11739.2								8197.98								9398.76				6032.51		8668.18		7424.46	8493.51	9153.92
P58546	MTPN_HUMAN	MTPN	Myotrophin	52631.8	55153.7		49520.9	8439.3	33935.4													12218.5		8071.98	27407					27295.2		22036.6	19899.6				13709.1					9875.58						34596.6			
P59190	RAB15_HUMAN	RAB15	Ras-related protein Rab-15	40907.4	56433.7	17164.8								12853.2					34908.8	6474.9			12118.2	13104.2	50888.6	11849.4	41021.7		16508.3	63094.9	12779.1													58881.4	38781.1						
P59998	ARPC4_HUMAN	ARPC4	Actin-related protein 2/3 complex subunit 4	16849	20493.3	10269	20976.5	8816.82	15655.6	6864.03	9440.53	8000.55	5205.14		7020.89	6587.34			9369.05		6092.16	34617.8	6195.8	4209.3	10392.6	9234.38	12906.4	9583.68	8412.57	16689.7		14083.6	13780.5	3799.36	4938.57	6474.28	17346.9	8988.81	1369.5		7877.26	7521.94	6499.29	19167	17986.2	4244.83	3588.63	29137.6	6757.26	10560.1	7550.45
P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase	28827.1	28182.2	10595.7	30017.2	15546.5	18419	14261.4	18657.2	10817.3	9170.54	10978.7	11675.4	7434.57	6623.88	9672.11	8860.14	6494.76	9365.71	27753	9764.78	10023.9	30019.9	6017.24	9633.81	10710.7	5361.74	10121.2	6382.59	11146.9	9909.24	9112.97	7999.55	9524.53	16031	15574	3727.52	4891.04	7954.32	3924.07	7170.25	11295.7	11673	6006.95	2918.38	16958.9	12258.5	12222.6	10828.7
P60660	MYL6_HUMAN	MYL6	Myosin light polypeptide 6	24811.7	25150.5	7746.5	24047.4	17970.3	38449.4	12592.3	17367.1	12665.1	20081.2	20092.4	9475.07	15047.3	19180.5	18931.1	35892.9		17972	104643	9434.05	6987.02	31404.3	10909.5	38585.4	20008.4	8602.46	40670		50681.2	47239.2	13851.5	11296	9375.52	62043.3	8203.13	9544.78	12740.7		24298.9	21570.8	30820.6	23365.3		9643.65	51610.8	33483.1	24124.2	28563.1
P60709	ACTB_HUMAN	ACTB	Actin, cytoplasmic 1	763903	770446	348140	727776	497020	463412	216966	430732	308239	197533	208628	187784	328338	375254	250059	376907	109354	288101	966586	203702	207639	458051	324952	433522	311702	310536	480313	112942	464206	412972	173331	126729	149975	636470	296252	196613	209213	281174	366234	269172	679243	679969	204682	170068	841950	305175	323864	301360
P60842	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I	28291.4	36463.3	17399.7	35057.4	24493.6	14614.7	13554.2	16159.1	13001.7	8939.07	17971.1			2195.81		3728.91		3443.4	12189.9	3499.74	5805.47	12243.2		4178.74			5384.87	4919.37	5676.28	5285.1	3809.94		4377.76	9906.08	3676.43	2874.94			6671.84		6246.89	16021.3		2626.17	7507.04	4972.86		
P60891	PRPS1_HUMAN	PRPS1	Ribose-phosphate pyrophosphokinase 1	9070.78	6389.32		4816.42															6260.09	4304.94		14665.7																			4525.89	7993.44						6815.23
P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6	52717.4	49994.7	33006.9	48466.6	54858.6	32883.8	53705.3	23925.4	24009.4	32551.3	31512.7	49557.2	33558.5	35877.4	26348.5	240432	26183.5	39618.4	101215	47847	46296.9	85472	80161.1	93996.9	122228	87836.8	27831.6	30763.9	28006.3	28367.8	33758.1	33448.8	29902.3	75371.9	162551	10361.9	98038.1	118304	27312.2	62767.3	139055	211056	33189.4	57695.8	90925.8	76723.5	66847.4	74593.8
P60985	KTDAP_HUMAN	KRTDAP	Keratinocyte differentiation-associated protein	67433.6	80388.1	39497.1	64641.6	148564	39081.4	52677.7	74111.8	37896.7	51461.7	40575.4	68099.4	76674	51967.5	59368.4	147393	92552.8	73326.2	100937	83540.4	134869	73146.6	102515	70387	187085	95656.1	57487.8	67809.1	48452	48455.9	66239.9	132566	111282	71343.5	68528.2	167775	92435	107837	53975.8	27219	38360.8	94568.9	100247	101996	16956.1	76007.9	75406	85972
P61006	RAB8A_HUMAN	RAB8A	Ras-related protein Rab-8A	49151.7	68583.2	20144.5	53419.3	25171.4	20505.6	8338.98	17873.9	7129.8			9612.69			10795	18913.3	10881	12035.4	53820	24110.5	24024.4	32302	16893.1	38247.8	19549.4	21774.3	46955.1	12474.4	47685.2	44475.9			8203.02	52582.3	19878			7746.39	29574.2	4042.4	54675	16860	16106.1	19778	83261.7	15004.3	24229.2	23945.4
P61019;Q8WUD1	RAB2A_HUMAN;RAB2B_HUMAN	RAB2A;RAB2B	Ras-related protein Rab-2A	2330.47	2966.23	1981.11	2919.34	2133.59	3042.78	2483	1408.82										1718.95	3729.82	2125.86	1914.98	2994.39			1923.5	2331.16	4113.4		4212.38	3344.05			729.35	3564.43					2446.43	1796.36		5074.3	2301.64		7816.1	4585.61	3688.42	3216.79
P61088	UBE2N_HUMAN	UBE2N	Ubiquitin-conjugating enzyme E2 N	24894.3	26897	4958.62	25244.3	12506.5	32428.1	12252.4	14331.5	7539.53		9616.38	15154.8			5425.33	7058.72	10449.7	8055.27	16240.1	11926.1	5552.66	34311.6	4785.88	9043.71	6236.84	3874.39	17231.9	11102	15299.4	14207.5	8655.07	11174.6	10172.7	23080.7	6136.86		4701.36	4206.89	8518.6	6103.64	20345.1	14281.4			22918.6	9949.7	10835.8	10929.1
P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14	4998.84	7230.74		8811.89	2209.01	12766.4	9047.61	3696.84				1541.49		2750.67	8312.64	3279.83				3409.99	1861.77	9457.62		2491.81	3524.11	3180.16	11611.4		7756.45	10645.4	6213.58	7219.54		12484.4	2283.26		6052.8		3821.93	6093.57	7381.09	1151.23			13272.7	3483.25		3090.91
